超商,Address,Response_X,Response_Y
全家,桃園市桃園區龍岡里上海路５４號、５６號１樓,121.2833302,24.9896905
全家,桃園市桃園區中寧里中埔六街五十四號一樓,121.2958161,25.0173483
全家,桃園市桃園區會稽里大有路五五四號一樓,121.3179985,25.0139968
全家,桃園市桃園區中寧里大興西路二段五十五號一樓之二,121.2989263,25.0114785
全家,桃園市桃園區東埔里中正路５７６號１樓,121.3053756,25.0038767
全家,桃園市桃園區中州街57號,121.293391,24.9884828
全家,桃園市桃園區仁愛路60號、62號1樓,121.2931594,24.994174
全家,桃園市桃園區光興里中山北路六十一號１樓,121.3031426,24.9935948
全家,桃園市桃園區文化里中正路61號1樓,121.3125283,24.9911025
全家,桃園市桃園區會稽里大有路６３２號１樓,121.3170817,25.0155461
全家,桃園市桃園區東埔里正康二街68號、70號,121.3086185,25.0019352
全家,桃園市桃園區中平里中山路六九一號一樓,121.2919175,24.9908643
全家,桃園市桃園區成功路2段69號、71號1樓,121.3164639,24.9941641
全家,桃園市桃園區南埔里正光路700號、702號1樓及吉安街88號1樓,121.2921181,25.0050883
全家,桃園市桃園區建國里大林路七十一號１樓,121.3142652,24.9875343
全家,桃園市桃園區福林里長沙街七十二號一樓,121.3089222,24.9802804
全家,桃園市桃園區會稽里春日路七三六號一樓,121.3100945,25.0121983
全家,桃園市桃園區武陵里民生路74號1樓,121.314656,24.9915871
全家,桃園市桃園區南埔里永安路752號、754號1樓,121.2949558,25.0058179
全家,桃園市桃園區大興西路2段139巷77號及79號,121.2976216,25.0097943
全家,桃園市桃園區中山路845號1樓,121.2874384,24.9890839
全家,桃園市桃園區中山路849號、851號1樓,121.287195,24.9889761
全家,桃園市桃園區大豐里建國路八十五號一樓,121.3142632,24.985508
全家,桃園市桃園區武陵里民生路八十六號一樓,121.3144993,24.9917534
全家,桃園市桃園區汴洲里經國二路87號,121.2979533,25.0296165
全家,桃園市桃園區縣府路88之1號1樓,121.3025856,24.9937921
全家,桃園市桃園區福安里建新街八十八號一樓,121.3117297,24.9823547
全家,桃園市桃園區北埔里莊一街８８號１樓,121.2934473,25.0218453
全家,桃園市桃園區經國路899號1樓,121.3002797,25.0323155
全家,桃園市桃園區中寧里中正路九二七號一樓,121.3000867,25.0119335
全家,桃園市桃園區武陵里復興路九十六號一樓,121.3158644,24.9911321
全家,桃園市桃園區文明里中華路九十七號一樓,121.3094037,24.9902878
全家,桃園市桃園區同安里同德五街98號1樓,121.2999033,25.0147983
全家,桃園市桃園區東門里春日路九十八號，成功路二段八十三號１樓,121.316764,24.9942568
全家,桃園市桃園區中信里中山路992號、994號,121.2857604,24.988715
全家,桃園市桃園區民安路99號1樓,121.2999802,24.9964516
全家,桃園市桃園區慈文里慈光街９９號、１０１巷１號１樓,121.2989094,25.0059806
全家,桃園市桃園區民權路９號１樓,121.3118119,24.989717
全家,桃園市桃園區玉山里大同西路九十三號一樓,121.3015373,24.9886543
全家,桃園市桃園區同安里中正路８４５號１樓,121.2990328,25.0151581
全家,桃園市桃園區南門里介壽路四一二號一樓,121.3109743,24.9874711
全家,桃園市桃園區南門里介壽路408號1樓及2樓、410號1樓、412號1樓及2樓,121.3041259,24.978799
全家,桃園市桃園區大林里桃鶯路四四五之一號一樓,121.323306,24.976878
全家,桃園市桃園區中寧里中正路1069號一樓,121.2982238,25.0161794
全家,桃園市桃園區三民路三段108號一樓,121.3057182,24.994244
全家,桃園市桃園區中山東路32之1號一樓,121.3146289,24.9957777
全家,桃園市桃園區中正路48巷16號一樓,121.3134354,24.9922475
全家,桃園市桃園區大豐路102號一樓,121.3168275,24.9804824
全家,桃園市桃園區龍安街169之3號,121.2787938,24.9921844
全聯,桃園市桃園區同德里中正路1047號,121.298606,25.015441
全聯,桃園市桃園區國際路1段1136號1樓,121.2894443,24.9877845
全聯,桃園市桃園區國際路2段117號1樓,121.287963,24.993101
全聯,桃園市桃園區寶慶里中埔二街158、160號,121.295691,25.0127171
全聯,桃園市桃園區天祥五街16號,121.3038373,25.0189352
全聯,桃園市桃園區新埔里天祥五街16號,121.3038373,25.0189352
全聯,桃園市桃園區大豐里延平路175號,121.3147012,24.9796974
全聯,桃園市桃園區桃鶯路196號1樓,121.3189089,24.9818849
全聯,桃園市桃園區慈文路317號1樓,121.3017508,25.006493
全聯,桃園市桃園區復興路380號1樓,121.3037241,24.9903702
全聯,桃園市桃園區東門里東國街38號1樓之1,121.3142528,24.9967262
全聯,桃園市桃園區東門里東國街38號1樓之1,121.3142528,24.9967262
全聯,桃園市桃園區中成里正光路459號,121.2940125,25.0016421
全聯,桃園市桃園區大有路466、468號1樓,121.318887,25.0124488
全聯,桃園市桃園區中正路498、500號1、2樓,121.3063876,25.0022573
全聯,桃園市桃園區三民路三段518號1樓,121.3073488,24.9830259
全聯,桃園市桃園區春日里大業路2段51、53號,121.3109498,25.0170745
全聯,桃園市桃園區大有路581號1樓,121.3164209,25.0159481
全聯,桃園市桃園區東山里春日路69之1號,121.3170097,24.9925551
全聯,桃園市桃園區藝文里龍泉五街8號,121.2727624,24.9827579
全聯,桃園市桃園區莊敬路2段99號1樓,121.2931185,25.0224954
全聯,桃園市桃園區忠義里大業路1段136號,121.3125892,25.0119348
全聯,桃園市桃園區三民路三段11巷1號1樓,121.308233,24.998173
全聯,桃園市桃園區大興里春日路682、684、686號,121.310531,25.011335
全聯,桃園市桃園區中山東路32-10、32-11號1樓,121.314629,24.995778
全聯,桃園市桃園區永安路348號,121.3023581,24.9994061
711,桃園市桃園區力行路100號1樓,121.3026305,25.0020331
711,桃園市桃園區天祥七街101、103號,121.2997872,25.0228983
711,桃園市桃園區建國路101號1樓,121.311961,24.9852157
711,桃園市桃園區大林里樹仁三街102號１樓,121.3207473,24.97424
711,桃園市桃園區同德六街103號1樓,121.2990872,25.0159931
711,桃園市桃園區永安路1040號、1040-1號1樓,121.2879268,25.0091464
711,桃園市桃園區中山路１０５８號１樓,121.2838607,24.9878599
711,桃園市桃園區莊敬路2段105號1樓,121.2928814,25.0224105
711,桃園市桃園區中正路１０６９號１樓,121.2982238,25.0161794
711,桃園市桃園區南華街106號、108號1樓,121.3080428,24.9916067
711,桃園市桃園區中正路1087號1樓,121.2979284,25.01687
711,桃園市桃園區大業路2段111號1樓之2,121.3106865,25.0183896
711,桃園市桃園區南華街１１３號,121.3076903,24.991881
711,桃園市桃園區正光路116號1樓,121.2954339,24.9956057
711,桃園市桃園區中泰里國際路1段1179號1樓,121.2885258,24.9891706
711,桃園市桃園區中正路一一七號一樓,121.3119011,24.9930971
711,桃園市桃園區永福西街一一七號一、二樓,121.2948284,24.9638569
711,桃園市桃園區三民路一段118號1樓,121.3209062,24.9987499
711,桃園市桃園區春日路1193號1樓,121.3088743,25.0152006
711,桃園市桃園區力行路385巷11、13號1樓,121.2976023,24.9983075
711,桃園市桃園區莊一街11、13號1樓,121.2952771,25.0223475
711,桃園市桃園區國際一路121號,121.2924267,24.9634271
711,桃園市桃園區中正路1247號1樓,121.2962983,25.0203121
711,桃園市桃園區三民路二段127、129號1樓,121.3127678,25.0003096
711,桃園市桃園區莊敬路一段１２８號１樓,121.3011575,25.0259266
711,桃園市桃園區龍壽街十二號１樓,121.269816,24.9780778
711,桃園市桃園區長春路１３２號１樓,121.3041903,25.0032317
711,桃園市桃園區春日路1344、1346號1樓,121.3060995,25.0263454
711,桃園市桃園區中山北路136號1樓,121.3031954,24.9952043
711,桃園市桃園區龍安街136號1樓,121.2800075,24.990522
711,桃園市桃園區中正五街137、139號1樓,121.3023622,25.0057724
711,桃園市桃園區大有路141、143號1樓,121.3210569,25.0064602
711,桃園市桃園區龍安街一四三號一樓,121.2795131,24.9910926
711,桃園市桃園區漢中路146號1樓,121.3039235,24.9820254
711,桃園市桃園區春日路1484、1486號1樓,121.3048385,25.0293835
711,桃園市桃園區北埔里莊二街148號1樓,121.2943478,25.0242091
711,桃園市桃園區中山路一四九二號一樓,121.2680927,24.977705
711,桃園市桃園區延平路１４號１樓,121.3138952,24.9879934
711,桃園市桃園區中埔二街150號1樓,121.2957881,25.012561
711,桃園市桃園區民族路150號1樓,121.3085008,24.9935809
711,桃園市桃園區大業路一段152號,121.3161729,25.0072279
711,桃園市桃園區力行路156號1樓,121.3014823,25.0014753
711,桃園市桃園區復興路一五九號一樓,121.310906,24.989641
711,桃園市桃園區重慶街15號1樓、 復興路83、85號1樓,121.3143011,24.9906486
711,桃園市桃園區中平路161號1樓,121.2936213,24.9855571
711,桃園市桃園區復興路162號1樓,121.3123209,24.9904439
711,桃園市桃園區成功路二段１６５號１樓,121.3191659,24.9949915
711,桃園市桃園區中平路167號1、2樓,121.2938005,24.9852499
711,桃園市桃園區經國路168號B1樓,121.3061737,25.0163128
711,桃園市桃園區延壽街一六九、一七一號,121.2890554,24.9943319
711,桃園市桃園區中華路16號1樓,121.271243,24.9788566
711,桃園市桃園區同德六街170號1樓,121.2968095,25.0155208
711,桃園市桃園區德華街173號,121.2858612,24.9927184
711,桃園市桃園區寶慶路一七六號,121.293185,25.0132498
711,桃園市桃園區大興西路1段178號1樓、新埔五街83、85號,121.3045448,25.0143979
711,桃園市桃園區南平路185、187號1樓,121.3021432,25.0194318
711,桃園市桃園區國聖一街188號1樓、宏昌十二街587號1樓,121.2885521,24.9844977
711,桃園市桃園區龍壽街十八、二十號,121.2697166,24.9782469
711,桃園市桃園區西湖里三民路三段１９０號１樓,121.3057417,24.9926457
711,桃園市桃園區大興西路二段1號1樓,121.2999527,25.0119817
711,桃園市桃園區同德六街1號,121.3011096,25.0168244
711,桃園市桃園區桃智路1、3號1樓,121.2946716,24.9649563
711,桃園市桃園區莊二街1號,121.2970566,25.0249799
711,桃園市桃園區龍壽街273巷1號1樓,121.2671763,24.9889742
711,桃園市桃園區延平路202號1樓、大豐路194號1樓,121.3145023,24.9804227
711,桃園市桃園區民生路208號1樓,121.3130882,24.9942059
711,桃園市桃園區寶山街209號1樓,121.3162333,25.0121397
711,桃園市桃園區縣府路212、216號1樓,121.2999159,24.9946208
711,桃園市桃園區自強路215號1樓,121.3169825,25.0003659
711,桃園市桃園區國強一街218、220號1樓,121.2826139,24.9921608
711,桃園市桃園區永安路２１９號１樓,121.303697,24.9982324
711,桃園市桃園區大興路221號1樓,121.312966,25.0157853
711,桃園市桃園區中正路２２４號１樓,121.3105584,24.9956727
711,桃園市桃園區信光路22號1樓,121.3075217,25.0062657
711,桃園市桃園區中正路233號1樓,121.3102311,24.9958069
711,桃園市桃園區吉昌街237號1樓,121.2878791,24.988256
711,桃園市桃園區春日路238、240號1樓,121.3152039,24.9983973
711,桃園市桃園區莊敬里經國路242號1樓,121.3040402,25.020563
711,桃園市桃園區桃鶯路２５１號１樓,121.3187539,24.9838879
711,桃園市桃園區介壽路２５６號１樓,121.3077887,24.982253
711,桃園市桃園區國豐六街25號、國強七街111、113號,121.2783151,24.9879962
711,桃園市桃園區經國一路25號,121.2990202,25.0291371
711,桃園市桃園區大興路265號,121.3144605,25.0159753
711,桃園市桃園區大業路1段277號1樓,121.3146438,25.0090186
711,桃園市桃園區寶山街280號1樓,121.3144802,25.0118495
711,桃園市桃園區宏昌六街281號1樓,121.2882162,24.9865453
711,桃園市桃園區民生路287、289號1樓,121.3116508,24.9973426
711,桃園市桃園區延平路289號1樓,121.3150187,24.9741923
711,桃園市桃園區三民里自強路2號、中山東路153號1樓,121.3185536,24.9973172
711,桃園市桃園區溫州一路302、306號1、2樓,121.2895134,25.002904
711,桃園市桃園區南平路306號1樓,121.2985974,25.0184236
711,桃園市桃園區中正路30號1、2樓,121.3132682,24.9900628
711,桃園市桃園區縣府路312號1樓,121.2999321,24.9925497
711,桃園市桃園區同安街３１７號１樓,121.302697,25.0166183
711,桃園市桃園區中正路３２４號１樓、桃園縣桃園市北新街66號1樓,121.3092358,24.9977875
711,桃園市桃園區永安路３３５、３３７號１樓,121.3004426,24.9997123
711,桃園市桃園區同安街340、342號,121.3028262,25.017069
711,桃園市桃園區中正路342號1、2樓,121.3089849,24.9981725
711,桃園市桃園區大業路１段３５５、３５７號１樓,121.3122649,25.012292
711,桃園市桃園區民光東路357、359號,121.3106597,25.0055863
711,桃園市桃園區復興路三六三號,121.303895,24.9899144
711,桃園市桃園區中埔六街３６號１樓,121.2961702,25.016493
711,桃園市桃園區三民路三段３７５號１樓,121.3069442,24.990056
711,桃園市桃園區長春路37、39號1樓,121.3054963,25.000816
711,桃園市桃園區永安路三八一、三八三號,121.2989815,25.0008627
711,桃園市桃園區復興路389號1樓,121.3024063,24.9907048
711,桃園市桃園區民生路３９１號１樓,121.3103766,25.0001498
711,桃園市桃園區經國路405號1樓,121.3049419,25.0174222
711,桃園市桃園區中正路４０７、４０９號１樓,121.30734,25.0003624
711,桃園市桃園區力行路四十號１樓,121.3041935,25.0028277
711,桃園市桃園區中正三街411號,121.2983869,25.003716
